Ticker,Name
BTC-USD,Bitcoin USD
ETH-USD,Ethereum USD
BNB-USD,BinanceCoin USD
ADA-USD,Cardano USD
DOGE-USD,Dogecoin USD
USDT-USD,Tether USD
XRP-USD,XRP USD
DOT1-USD,Polkadot USD
BCH-USD,BitcoinCash USD
UNI3-USD,Uniswap USD
LTC-USD,Litecoin USD
LINK-USD,Chainlink USD
XLM-USD,Stellar USD
USDC-USD,USDCoin USD
SOL1-USD,Solana USD
VET-USD,VeChain USD
ETC-USD,EthereumClassic USD
MATIC-USD,MaticNetwork USD
HEX-USD,HEX USD
EOS-USD,EOS USD
THETA-USD,THETA USD
UNI3-USD,Uniswap USD
TRX-USD,TRON USD
FIL-USD,FilecoinFutures USD
XMR-USD,Monero USD
NEO-USD,NEO USD
